tractID,ARSON,ASSAULT,BATTERY,BURGLARY,CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,CRIMINAL TRESPASS,DECEPTIVE PRACTICE,GAMBLING,HOMICIDE,INTERFERENCE WITH PUBLIC OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR LAW VIOLATION,MOTOR VEHICLE THEFT,NARCOTICS,OBSCENITY,OFFENSE INVOLVING CHILDREN,OTHER NARCOTIC VIOLATION,OTHER OFFENSE,PROSTITUTION,PUBLIC INDECENCY,PUBLIC PEACE VIOLATION,ROBBERY,SEX OFFENSE,STALKING,THEFT,WEAPONS VIOLATION,total
17031440202,1,42,81,40,1,55,10,33,0,7,1,0,0,1,38,29,0,4,0,34,8,0,3,40,1,0,275,4,708
17031190800,0,20,88,71,1,67,9,14,0,0,4,1,0,0,47,48,0,7,0,41,7,0,2,23,3,0,70,5,528
17031839600,0,40,106,18,6,37,26,20,3,0,0,0,1,0,12,73,0,3,0,17,0,0,2,15,1,0,85,3,468
17031720300,0,10,24,23,0,29,4,20,0,0,0,0,0,1,5,5,0,3,0,14,0,0,0,7,0,0,61,0,206
17031837300,2,45,147,47,0,70,19,14,3,0,2,5,1,0,31,68,0,3,0,42,1,0,5,16,1,3,105,6,636
17031151100,0,24,52,43,2,51,7,16,0,0,0,0,0,2,24,26,0,1,0,26,0,0,1,12,2,1,62,2,354
17031060100,0,14,26,16,2,26,2,8,0,0,0,0,0,0,9,15,0,0,0,2,0,0,1,3,0,0,62,2,188
17031062900,1,4,22,22,0,31,17,15,0,0,0,1,0,1,17,2,0,0,0,6,0,0,2,15,1,0,96,0,253
17031650100,0,17,42,60,1,60,1,11,0,0,1,0,1,1,17,32,0,4,0,21,0,0,3,22,2,0,48,3,347
17031150401,0,14,34,45,0,49,7,11,0,0,0,0,0,1,9,8,0,2,0,21,0,0,2,5,1,0,55,1,265
17031150402,1,4,31,29,0,39,10,7,0,0,0,0,0,1,24,15,0,0,0,15,0,0,0,4,1,0,51,1,233
17031841000,0,12,34,8,1,22,9,12,0,0,0,1,1,1,18,7,0,4,0,18,0,0,3,5,0,0,95,2,253
17031220601,0,5,19,11,0,11,3,5,0,0,0,0,0,0,18,7,0,0,0,8,0,0,0,6,0,2,34,0,129
